,Name,fund_cusip,Global Category,portfolio_score_date,portfolio_score,crsp_fundno,crsp_portno
0,Invesco Charter A,141310,US Equity Large Cap Blend,201209,51.41,2899.0,1022003.0
1,Invesco Charter A,141310,US Equity Large Cap Blend,201212,50.9,2899.0,1022003.0
2,Invesco Charter A,141310,US Equity Large Cap Blend,201303,51.01,2899.0,1022003.0
3,Invesco Charter A,141310,US Equity Large Cap Blend,201306,51.44,2899.0,1022003.0
4,Invesco Charter A,141310,US Equity Large Cap Blend,201309,49.96,2899.0,1022003.0
5,Invesco Charter A,141310,US Equity Large Cap Blend,201312,50.61,2899.0,1022003.0
6,Invesco Charter A,141310,US Equity Large Cap Blend,201403,53.71,2899.0,1022003.0
7,Invesco Charter A,141310,US Equity Large Cap Blend,201406,51.69,2899.0,1022003.0
8,Invesco Charter A,141310,US Equity Large Cap Blend,201409,51.2,2899.0,1022003.0
9,Invesco Charter A,141310,US Equity Large Cap Blend,201412,52.49,2899.0,1022003.0
10,Invesco Charter A,141310,US Equity Large Cap Blend,201503,52.57,2899.0,1022003.0
11,Invesco Charter A,141310,US Equity Large Cap Blend,201506,52.2,2899.0,1022003.0
12,Invesco Charter A,141310,US Equity Large Cap Blend,201509,51.27,2899.0,1022003.0
13,Invesco Charter A,141310,US Equity Large Cap Blend,201512,50.95,2899.0,1022003.0
14,Invesco Charter A,141310,US Equity Large Cap Blend,201603,50.53,2899.0,1022003.0
15,Invesco Charter A,141310,US Equity Large Cap Blend,201606,50.49,2899.0,1022003.0
16,Invesco Charter A,141310,US Equity Large Cap Blend,201609,50.01,2899.0,1022003.0
17,Invesco Charter A,141310,US Equity Large Cap Blend,201612,49.96,2899.0,1022003.0
18,Invesco Charter A,141310,US Equity Large Cap Blend,201703,49.4,2899.0,1022003.0
19,Invesco Charter A,141310,US Equity Large Cap Blend,201706,49.4,2899.0,1022003.0
